"ANO_CMPT","MES_CMPT","CNES","Name_CNES","num_dias_perman_hosp","num_motivos_saida_hosp","num_dias_perman_clinica","num_motivos_saida_clinica","num_dias_perman_cirurgica","num_motivos_saida_cirurgica","num_partos_cesareos","num_partos_total","N_dias_em_UTI","N_CIRURGIAS_APRE","N_Internacoes_H","N_leitos_UTI","N_leitos_hosp_sem_leitos_hosp_dia"
"2020","02","0002534","HU da Universidade Federal de Sergipe (HU-UFS)",1986,369,1396,143,590,226,0,0,61,284,373,5,116
"2020","02","0003816","HU Professor Edgard Santos (Hupes-UFBA)",3534,329,2810,165,685,140,0,0,259,215,412,28,276
"2020","02","0004731","Maternidade Climério de Oliveira (MCO-UFBA)",1141,129,919,61,222,68,35,70,227,72,158,10,66
"2020","02","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)",4321,626,2477,315,1844,311,68,145,521,379,680,30,199
"2020","02","0010510","HU da Universidade de Brasília (HUB-UnB)",3935,626,3039,310,841,302,118,257,204,630,753,29,206
"2020","02","0012505","HU Antônio Pedro (HUAP-UFF)",4938,616,3366,381,1506,223,27,41,752,284,635,34,234
"2020","02","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)",11854,1601,8506,921,2398,543,58,125,1559,795,1849,79,435
"2020","02","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)",4168,556,3160,306,1006,247,74,121,532,314,629,45,248
"2020","02","2017644","HU Getúlio Vargas (HUGV-UFAM)",1567,287,755,92,812,195,0,0,164,232,313,12,159
"2020","02","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)",12501,2044,6879,869,5467,1146,155,249,1005,2593,2193,68,506
"2020","02","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)",7019,979,3428,436,3540,535,55,122,845,739,1026,40,296
"2020","02","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)",2347,312,1449,127,894,185,0,0,240,400,376,9,137
"2020","02","2244306","HU da Univ. Federal de Santa Maria (HUSM-UFSM)",10119,1240,6581,653,3434,577,110,191,648,2070,1306,34,364
"2020","02","2252694","HE da Univ. Federal de Pelotas (HE-UFPel)",4109,402,2788,251,1293,149,45,88,483,230,463,15,165
"2020","02","2295415","HU Gaffree e Guinle (HUGG-Unirio)",2124,296,1424,91,687,188,16,36,265,224,325,14,224
"2020","02","2332981","HU João de Barros Barreto (HUJBB-UFPA)",3517,268,2544,150,973,118,0,0,189,170,308,10,289
"2020","02","2338424","HC da Universidade Federal de Goiás (HC-UFG)",4890,789,2544,412,2306,375,30,42,596,808,812,25,233
"2020","02","2384299","Complexo do HC da Univ.Fed. do Paraná (CHC-UFPR)",5638,1115,3349,529,2004,554,38,75,1064,878,1280,58,600
"2020","02","2400243","HU Lauro Wanderley (HULW-UFPB)",3629,636,2294,331,1280,298,111,208,427,452,688,42,229
"2020","02","2409208","Maternidade Escola Januário Cicco (Mejc-UFRN)",2987,565,2000,275,987,290,153,250,291,324,613,26,128
"2020","02","2481286","Maternidade Escola Assis Chateaubriand (Meac-UFC)",4682,875,3236,494,1446,381,197,320,699,435,902,28,254
"2020","02","2504502","HU Júlio Maria Bandeira de Mello (HUJB-UFCG)",269,109,112,34,157,75,0,0,0,91,109,NA,30
"2020","02","2561492","HU Walter Cantídio (HUWC-UFC)",3419,379,2122,139,729,189,0,0,362,309,508,15,197
"2020","02","2640244","Maternidade Victor F. do Amaral (MVFA-UFPR)",365,163,304,122,61,41,22,77,0,41,163,NA,53
"2020","02","2653982","Hospital Universitário Onofre Lopes (Huol-UFRN)",4186,486,2941,219,1069,247,0,0,468,332,530,24,235
"2020","02","2655411","Hospital Universitário Júlio Muller (HUJM-UFMT)",3078,429,1768,217,1310,212,35,100,559,252,458,18,116
"2020","02","2676060","Hospital Universitário Alcides Carneiro (HUAC-UFCG)",2498,323,2027,176,469,146,0,0,295,227,354,19,165
"2020","02","2694751","HU Bettina Ferro de Souza (HUBFS-UFPA)",148,117,0,0,135,103,0,0,0,117,117,NA,21
"2020","02","2707675","HU Dr. Miguel Riet Correa Junior (HU-Furg)",2462,342,1837,204,623,137,43,80,344,137,345,26,215
"2020","02","2710935","HU da Univ. Federal da Grande Dourados (HU-UFGD)",4774,792,3225,420,1519,371,173,320,903,423,826,35,190
"2020","02","2726653","HU da Universidade Federal do Maranhão (HU-UFMA)",9834,1346,5193,533,4446,784,139,272,1460,863,1417,55,448
"2020","02","3157245","HU da Univ. Federal de Santa Catarina (HU-UFSC)",5334,1012,3188,634,2100,374,83,222,519,565,1088,22,213
"2020","02","3285391","HU da Universidade Federal do Piauí (HU-UFPI)",5221,447,2770,196,2451,251,0,0,421,472,496,15,192
"2020","02","3654826","Hospital de Doenças Tropicais (HDT-UFT)",570,94,570,94,0,0,0,0,0,0,96,NA,48
"2020","02","4014111","Hospital Universitário Ana Bezerra (Huab-UFRN)",1423,386,1042,217,381,169,101,219,0,172,393,5,63
"2020","02","4044916","HU Cassiano Antônio Moraes (Hucam-UFES)",4604,711,2738,284,1864,412,31,45,559,516,788,28,253
"2020","02","5586348","HU da Univ. Federal de São Carlos (HU-Ufscar)",898,172,898,172,0,0,0,0,0,0,172,NA,50
"2020","02","6042414","HU da Univ. Fed. Vale do São Francisco (HU-Univasf)",3669,439,1229,219,2440,220,0,0,212,473,464,21,150
"2020","02","6568343","Hospital Universitário de Lagarto (HUL-UFS)",2142,305,1843,220,299,85,0,0,38,88,314,10,78
"2020","03","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)",5031,901,3448,476,1533,416,73,127,493,604,1057,38,368
"2020","03","0002534","HU da Universidade Federal de Sergipe (HU-UFS)",1703,326,1253,150,450,176,0,0,119,234,333,19,130
"2020","03","0003816","HU Professor Edgard Santos (Hupes-UFBA)",4881,502,3962,285,781,189,0,0,396,274,612,28,276
"2020","03","0004731","Maternidade Climério de Oliveira (MCO-UFBA)",1516,135,961,72,555,63,37,56,280,69,163,10,66
"2020","03","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)",6421,917,3901,471,2518,445,89,203,798,526,937,30,199
"2020","03","0010510","HU da Universidade de Brasília (HUB-UnB)",4280,785,2934,411,1032,342,33,81,346,838,837,29,206
"2020","03","0012505","HU Antônio Pedro (HUAP-UFF)",3286,413,1952,247,1298,161,21,28,387,215,428,34,234
"2020","03","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)",12344,1563,8766,850,2708,592,53,128,2016,820,1824,79,435
"2020","03","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)",4397,585,3276,282,1109,296,102,158,455,432,718,51,254
"2020","03","2017644","HU Getúlio Vargas (HUGV-UFAM)",1404,322,610,93,788,228,0,0,106,283,343,12,159
"2020","03","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)",12844,1609,7654,805,5008,793,147,231,1446,1874,1791,68,506
"2020","03","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)",5471,739,2198,246,3190,486,54,122,859,662,782,40,296
"2020","03","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)",2595,318,1725,172,751,139,0,0,58,318,347,9,137
"2020","03","2244306","HU da Univ. Federal de Santa Maria (HUSM-UFSM)",12072,1474,7506,819,4485,647,151,253,1369,2744,1545,54,384
"2020","03","2252694","HE da Univ. Federal de Pelotas (HE-UFPel)",4015,377,2593,229,1419,147,42,72,463,205,436,20,170
"2020","03","2295415","HU Gaffree e Guinle (HUGG-Unirio)",1824,232,1225,69,572,135,18,41,154,183,257,14,225
"2020","03","2332981","HU João de Barros Barreto (HUJBB-UFPA)",2725,139,1967,89,758,50,0,0,200,103,169,10,289
"2020","03","2338424","HC da Universidade Federal de Goiás (HC-UFG)",5863,843,3436,445,2352,393,35,47,536,758,872,63,271
"2020","03","2384299","Complexo do HC da Univ.Fed. do Paraná (CHC-UFPR)",4686,896,2856,426,1609,440,58,116,868,665,1032,124,666
"2020","03","2400243","HU Lauro Wanderley (HULW-UFPB)",3260,469,2276,255,968,211,75,129,405,551,522,42,229
"2020","03","2409208","Maternidade Escola Januário Cicco (Mejc-UFRN)",3162,561,2064,275,1098,286,154,273,559,317,613,26,128
"2020","03","2481286","Maternidade Escola Assis Chateaubriand (Meac-UFC)",5036,942,3467,537,1569,405,246,384,645,468,964,28,254
"2020","03","2504502","HU Júlio Maria Bandeira de Mello (HUJB-UFCG)",459,130,325,70,134,60,0,0,0,63,131,NA,30
"2020","03","2561492","HU Walter Cantídio (HUWC-UFC)",3581,463,1960,178,929,220,0,0,256,358,578,15,197
"2020","03","2640244","Maternidade Victor F. do Amaral (MVFA-UFPR)",334,144,255,97,79,47,27,82,0,47,144,NA,53
"2020","03","2653982","Hospital Universitário Onofre Lopes (Huol-UFRN)",5119,706,3309,316,1586,376,0,0,444,481,758,24,235
"2020","03","2655411","Hospital Universitário Júlio Muller (HUJM-UFMT)",1801,289,966,104,835,185,56,73,192,208,298,34,132
"2020","03","2676060","Hospital Universitário Alcides Carneiro (HUAC-UFCG)",2745,352,2223,189,522,163,0,0,351,248,380,19,165
"2020","03","2694751","HU Bettina Ferro de Souza (HUBFS-UFPA)",37,37,0,0,34,34,0,0,0,39,37,NA,21
"2020","03","2707675","HU Dr. Miguel Riet Correa Junior (HU-Furg)",3162,541,2198,275,964,266,53,114,581,285,556,26,215
"2020","03","2710935","HU da Univ. Federal da Grande Dourados (HU-UFGD)",4270,731,3372,440,898,291,138,245,759,329,747,35,181
"2020","03","2726653","HU da Universidade Federal do Maranhão (HU-UFMA)",8127,1133,4137,484,3662,628,133,280,988,694,1192,55,454
"2020","03","3157245","HU da Univ. Federal de Santa Catarina (HU-UFSC)",5023,877,2805,521,2188,350,83,202,393,540,925,22,213
"2020","03","3285391","HU da Universidade Federal do Piauí (HU-UFPI)",5692,545,3217,258,2473,286,0,0,360,502,610,30,207
"2020","03","3654826","Hospital de Doenças Tropicais (HDT-UFT)",823,112,823,112,0,0,0,0,0,0,113,NA,48
"2020","03","4014111","Hospital Universitário Ana Bezerra (Huab-UFRN)",972,241,709,136,263,105,78,149,0,109,248,5,63
"2020","03","4044916","HU Cassiano Antônio Moraes (Hucam-UFES)",5412,804,3286,361,2117,428,44,72,688,629,889,28,253
"2020","03","5586348","HU da Univ. Federal de São Carlos (HU-Ufscar)",966,169,966,169,0,0,0,0,0,0,169,NA,67
"2020","03","6042414","HU da Univ. Fed. Vale do São Francisco (HU-Univasf)",2927,425,1770,245,1157,180,0,0,310,423,463,21,150
"2020","03","6568343","Hospital Universitário de Lagarto (HUL-UFS)",2336,332,1959,239,377,93,0,0,72,101,338,20,81
"2020","04","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)",4899,767,3859,493,930,262,58,94,244,339,864,38,368
"2020","04","0002534","HU da Universidade Federal de Sergipe (HU-UFS)",1853,273,1308,108,529,164,0,0,133,211,277,19,130
"2020","04","0003816","HU Professor Edgard Santos (Hupes-UFBA)",6068,617,5013,345,939,260,0,0,466,334,718,28,276
"2020","04","0004731","Maternidade Climério de Oliveira (MCO-UFBA)",1153,144,857,82,296,62,38,67,207,66,169,10,66
"2020","04","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)",6714,960,3831,430,2872,526,89,171,919,594,1012,30,199
"2020","04","0010510","HU da Universidade de Brasília (HUB-UnB)",3770,499,3078,295,633,197,64,160,129,622,598,39,216
"2020","04","0012505","HU Antônio Pedro (HUAP-UFF)",2587,224,1378,113,1169,106,5,9,788,143,236,34,234
"2020","04","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)",9933,1289,7045,659,2284,541,63,139,1311,700,1524,113,469
"2020","04","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)",2751,323,1954,187,797,135,64,116,300,253,391,67,286
"2020","04","2017644","HU Getúlio Vargas (HUGV-UFAM)",1144,272,389,75,746,197,0,0,105,255,290,30,102
"2020","04","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)",10713,1089,5678,480,4939,601,103,140,1904,1980,1257,68,506
"2020","04","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)",4363,588,2589,366,1716,219,46,113,652,312,621,40,296
"2020","04","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)",3884,379,2712,214,1168,162,0,0,247,312,418,9,137
"2020","04","2244306","HU da Univ. Federal de Santa Maria (HUSM-UFSM)",10537,1100,6873,657,3488,431,81,162,1102,2462,1167,54,384
"2020","04","2252694","HE da Univ. Federal de Pelotas (HE-UFPel)",3446,287,2404,185,1036,101,55,100,463,190,329,35,199
"2020","04","2295415","HU Gaffree e Guinle (HUGG-Unirio)",2187,512,1309,159,839,319,25,66,102,374,530,21,211
"2020","04","2332981","HU João de Barros Barreto (HUJBB-UFPA)",3300,167,2343,106,957,61,0,0,142,247,222,10,281
"2020","04","2338424","HC da Universidade Federal de Goiás (HC-UFG)",4228,479,2858,325,1370,154,35,41,890,459,498,41,249
"2020","04","2384299","Complexo do HC da Univ.Fed. do Paraná (CHC-UFPR)",6076,964,3517,501,2144,426,77,180,1445,632,1061,124,666
"2020","04","2400243","HU Lauro Wanderley (HULW-UFPB)",1902,319,1178,152,705,162,59,106,295,250,357,42,229
"2020","04","2409208","Maternidade Escola Januário Cicco (Mejc-UFRN)",2954,434,2099,230,855,204,160,277,783,231,492,26,128
"2020","04","2481286","Maternidade Escola Assis Chateaubriand (Meac-UFC)",5143,1123,3464,671,1679,452,345,559,682,522,1172,28,254
"2020","04","2504502","HU Júlio Maria Bandeira de Mello (HUJB-UFCG)",160,33,141,32,19,1,0,0,0,1,33,5,35
"2020","04","2561492","HU Walter Cantídio (HUWC-UFC)",3930,316,2352,150,950,128,0,0,440,269,520,15,197
"2020","04","2640244","Maternidade Victor F. do Amaral (MVFA-UFPR)",333,106,298,86,35,20,10,65,0,20,106,NA,93
"2020","04","2653982","Hospital Universitário Onofre Lopes (Huol-UFRN)",4654,563,2871,237,1566,304,0,0,387,397,618,24,235
"2020","04","2655411","Hospital Universitário Júlio Muller (HUJM-UFMT)",1774,200,1215,101,559,99,26,49,189,119,205,26,120
"2020","04","2676060","Hospital Universitário Alcides Carneiro (HUAC-UFCG)",2054,203,1666,134,388,69,0,0,208,120,229,19,165
"2020","04","2694751","HU Bettina Ferro de Souza (HUBFS-UFPA)",104,106,0,0,92,93,0,0,0,116,106,NA,21
"2020","04","2707675","HU Dr. Miguel Riet Correa Junior (HU-Furg)",4536,440,3062,249,1474,190,64,125,715,202,445,26,215
"2020","04","2710935","HU da Univ. Federal da Grande Dourados (HU-UFGD)",5791,905,4495,550,1210,350,136,292,1012,412,935,35,181
"2020","04","2726653","HU da Universidade Federal do Maranhão (HU-UFMA)",6907,812,3606,363,3072,430,107,196,950,476,859,55,454
"2020","04","3157245","HU da Univ. Federal de Santa Catarina (HU-UFSC)",3660,757,2289,478,1370,278,92,234,283,356,771,32,223
"2020","04","3285391","HU da Universidade Federal do Piauí (HU-UFPI)",5581,422,2882,185,2699,237,0,0,457,436,484,35,212
"2020","04","3654826","Hospital de Doenças Tropicais (HDT-UFT)",463,71,463,71,0,0,0,0,0,0,71,NA,48
"2020","04","4014111","Hospital Universitário Ana Bezerra (Huab-UFRN)",1598,505,1071,278,527,227,182,353,0,232,523,5,63
"2020","04","4044916","HU Cassiano Antônio Moraes (Hucam-UFES)",4747,628,2957,331,1751,287,76,110,617,400,683,31,262
"2020","04","5586348","HU da Univ. Federal de São Carlos (HU-Ufscar)",1000,222,1000,222,0,0,0,0,0,0,222,10,77
"2020","04","6568343","Hospital Universitário de Lagarto (HUL-UFS)",1060,236,745,114,301,121,0,0,409,205,243,20,107
"2020","05","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)",2996,555,1819,305,1165,248,57,113,309,336,633,38,368
"2020","05","0002534","HU da Universidade Federal de Sergipe (HU-UFS)",1927,218,1492,134,435,84,0,0,160,124,223,24,151
"2020","05","0003816","HU Professor Edgard Santos (Hupes-UFBA)",4425,438,3576,238,772,182,0,0,442,268,531,28,276
"2020","05","0004731","Maternidade Climério de Oliveira (MCO-UFBA)",1017,139,784,78,233,61,37,72,192,64,161,10,66
"2020","05","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)",6129,921,3848,517,2277,403,107,293,703,453,967,29,198
"2020","05","0010510","HU da Universidade de Brasília (HUB-UnB)",4047,704,3024,377,970,321,118,281,306,850,831,39,211
"2020","05","0012505","HU Antônio Pedro (HUAP-UFF)",3033,329,2202,205,794,120,39,52,583,148,340,34,234
"2020","05","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)",7890,1100,5453,567,2016,462,40,89,1138,639,1290,99,455
"2020","05","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)",2349,337,1798,207,549,129,26,62,643,171,397,67,286
"2020","05","2017644","HU Getúlio Vargas (HUGV-UFAM)",1803,303,866,103,937,200,0,0,328,263,336,30,102
"2020","05","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)",10233,1194,5705,588,4419,595,79,129,1456,1941,1309,68,506
"2020","05","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)",6173,783,3177,340,2846,427,74,134,901,567,854,40,294
"2020","05","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)",2488,259,1857,174,584,83,0,0,276,250,309,17,121
"2020","05","2244306","HU da Univ. Federal de Santa Maria (HUSM-UFSM)",8711,1104,5597,618,3005,476,104,160,1111,1900,1164,40,370
"2020","05","2252694","HE da Univ. Federal de Pelotas (HE-UFPel)",3399,312,2296,205,1103,107,54,102,421,130,333,35,199
"2020","05","2295415","HU Gaffree e Guinle (HUGG-Unirio)",1672,276,1017,100,652,174,11,21,89,242,301,21,211
"2020","05","2332981","HU João de Barros Barreto (HUJBB-UFPA)",3096,151,2246,90,850,61,0,0,256,97,187,17,288
"2020","05","2338424","HC da Universidade Federal de Goiás (HC-UFG)",3797,527,2728,365,1049,160,30,35,562,274,543,41,249
"2020","05","2384299","Complexo do HC da Univ.Fed. do Paraná (CHC-UFPR)",9328,1571,6313,975,2435,553,160,425,1428,778,1655,124,666
"2020","05","2400243","HU Lauro Wanderley (HULW-UFPB)",2885,498,1959,267,897,227,104,182,279,307,539,42,229
"2020","05","2409208","Maternidade Escola Januário Cicco (Mejc-UFRN)",3479,639,2402,363,1077,276,240,396,680,294,702,26,128
"2020","05","2481286","Maternidade Escola Assis Chateaubriand (Meac-UFC)",4459,857,3161,505,1298,352,279,418,796,410,882,28,254
"2020","05","2504502","HU Júlio Maria Bandeira de Mello (HUJB-UFCG)",115,17,115,17,0,0,0,0,0,0,17,6,31
"2020","05","2561492","HU Walter Cantídio (HUWC-UFC)",2442,188,1718,105,466,64,0,0,260,129,264,21,203
"2020","05","2653982","Hospital Universitário Onofre Lopes (Huol-UFRN)",4026,512,2028,189,1780,305,0,0,490,408,570,24,235
"2020","05","2655411","Hospital Universitário Júlio Muller (HUJM-UFMT)",1669,200,1148,114,521,86,33,47,330,97,202,26,120
"2020","05","2676060","Hospital Universitário Alcides Carneiro (HUAC-UFCG)",2232,224,1651,145,572,78,0,0,391,242,268,19,165
"2020","05","2707675","HU Dr. Miguel Riet Correa Junior (HU-Furg)",3183,355,2463,210,720,144,55,127,641,149,358,26,169
"2020","05","2710935","HU da Univ. Federal da Grande Dourados (HU-UFGD)",3522,667,2435,376,1079,290,202,395,394,322,689,39,185
"2020","05","2726653","HU da Universidade Federal do Maranhão (HU-UFMA)",5934,650,3904,402,2010,247,109,263,1267,277,688,95,494
"2020","05","3157245","HU da Univ. Federal de Santa Catarina (HU-UFSC)",4283,778,2503,526,1633,246,93,256,582,406,855,40,236
"2020","05","3285391","HU da Universidade Federal do Piauí (HU-UFPI)",6132,548,3673,247,2452,297,0,0,430,558,606,35,212
"2020","05","3654826","Hospital de Doenças Tropicais (HDT-UFT)",575,95,575,95,0,0,0,0,0,0,95,NA,48
"2020","05","4014111","Hospital Universitário Ana Bezerra (Huab-UFRN)",892,293,565,153,327,140,115,207,0,141,296,5,63
"2020","05","4044916","HU Cassiano Antônio Moraes (Hucam-UFES)",4177,614,2466,316,1697,293,73,101,609,418,698,31,262
"2020","05","5586348","HU da Univ. Federal de São Carlos (HU-Ufscar)",1052,213,1052,213,0,0,0,0,0,0,213,10,77
"2020","05","6042414","HU da Univ. Fed. Vale do São Francisco (HU-Univasf)",5303,1080,2098,384,3205,696,0,0,405,1439,1164,21,150
"2020","05","6568343","Hospital Universitário de Lagarto (HUL-UFS)",1461,175,1299,112,162,63,0,0,103,181,176,20,107
"2020","06","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)",4467,681,3345,459,1065,216,94,163,651,302,810,38,368
"2020","06","0002534","HU da Universidade Federal de Sergipe (HU-UFS)",1472,102,1317,87,155,15,0,0,271,30,108,24,151
"2020","06","0003816","HU Professor Edgard Santos (Hupes-UFBA)",6675,566,5452,324,1076,219,0,0,463,317,680,35,283
"2020","06","0004731","Maternidade Climério de Oliveira (MCO-UFBA)",1066,140,766,78,300,62,50,86,209,67,166,10,66
"2020","06","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)",6499,890,3721,485,2778,405,100,219,911,501,932,29,198
"2020","06","0010510","HU da Universidade de Brasília (HUB-UnB)",2992,648,1833,386,1082,257,97,206,262,1016,747,39,211
"2020","06","0012505","HU Antônio Pedro (HUAP-UFF)",3344,289,1863,156,1481,133,30,41,1237,190,313,34,234
"2020","06","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)",8650,1046,6296,574,1697,397,44,114,1358,561,1261,99,455
"2020","06","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)",2544,405,1733,248,811,157,85,142,340,204,449,67,286
"2020","06","2017644","HU Getúlio Vargas (HUGV-UFAM)",2078,286,1328,150,750,136,0,0,497,189,313,30,102
"2020","06","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)",10761,1365,5999,681,4612,673,150,238,1426,2059,1503,68,506
"2020","06","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)",6969,721,3726,371,3204,347,54,135,1439,527,792,40,294
